state,year,Combo1_drugs,Combo1_deaths,Combo2_drugs,Combo2_deaths,Combo3_drugs,Combo3_deaths,Combo4_drugs,Combo4_deaths,Combo5_drugs,Combo5_deaths
Minnesota,2021,Illegally-made Fentanyls with no other opioids or stimulants,374,Illegally-made Fentanyls and Methamphetamine,219,Methamphetamine with no other stimulants or opioids,129,Illegally-made Fentanyls and Cocaine,77,Prescription Opioids with no other opioids or stimulants,57
Nebraska,2021,Illegally-made Fentanyls with no other opioids or stimulants,43,Methamphetamine with no other stimulants or opioids,18,Illegally-made Fentanyls and Methamphetamine,17,Methamphetamine and other opioids or stimulants or both,16,Prescription Opioids with no other opioids or stimulants,13
Nevada,2021,Methamphetamine with no other stimulants or opioids,305,Illegally-made Fentanyls with no other opioids or stimulants,132,Prescription Opioids with no other opioids or stimulants,87,Illegally-made Fentanyls and Methamphetamine,69,Heroin and Methamphetamine,59
New Hampshire,2021,Illegally-made Fentanyls with no other opioids or stimulants,266,Illegally-made Fentanyls and Methamphetamine,40,Prescription Opioids with no other opioids or stimulants,24,Illegally-made Fentanyls and Cocaine,20,Cocaine with no other stimulants or opioids,14
New Jersey,2021,Illegally-made Fentanyls with no other opioids or stimulants,913,Illegally-made Fentanyls and Cocaine,741,Illegally-made Fentanyls and Heroin,258,Illegally-made Fentanyls and Prescription Opioids,187,Cocaine with no other stimulants or opioids,155
New Mexico,2021,Illegally-made Fentanyls with no other opioids or stimulants,192,Methamphetamine and other opioids or stimulants or both,177,Illegally-made Fentanyls and Methamphetamine,139,"Illegally-made Fentanyls, Heroin, Prescription Opioids, and Methamphetamine",54,Illegally-made Fentanyls and Cocaine,44
North Carolina,2021,Illegally-made Fentanyls with no other opioids or stimulants,1052,Illegally-made Fentanyls and Cocaine,852,Illegally-made Fentanyls and Methamphetamine,460,Cocaine with no other stimulants or opioids,245,Illegally-made Fentanyls and Prescription Opioids,158
Ohio,2021,Illegally-made Fentanyls with no other opioids or stimulants,1809,Illegally-made Fentanyls and Cocaine,1021,Illegally-made Fentanyls and Methamphetamine,769,Cocaine with no other stimulants or opioids,298,Methamphetamine with no other stimulants or opioids,198
Oklahoma,2021,Methamphetamine with no other stimulants or opioids,488,Illegally-made Fentanyls with no other opioids or stimulants,142,Illegally-made Fentanyls and Methamphetamine,85,Prescription Opioids with no other opioids or stimulants,66,Cocaine with no other stimulants or opioids,35
Oregon,2021,Methamphetamine with no other stimulants or opioids,255,Illegally-made Fentanyls with no other opioids or stimulants,219,Illegally-made Fentanyls and Methamphetamine,117,Heroin and Methamphetamine,83,"Illegally-made Fentanyls, Heroin, and Methamphetamine",64
Overall,2021,Illegally-made Fentanyls with no other opioids or stimulants,14252,Illegally-made Fentanyls and Cocaine,8048,Illegally-made Fentanyls and Methamphetamine,5518,Methamphetamine with no other stimulants or opioids,3200,Cocaine with no other stimulants or opioids,2368
Pennsylvania,2021,Illegally-made Fentanyls with no other opioids or stimulants,1514,Illegally-made Fentanyls and Cocaine,878,Illegally-made Fentanyls and Methamphetamine,484,Cocaine with no other stimulants or opioids,304,Illegally-made Fentanyls and Prescription Opioids,280
Rhode Island,2021,Illegally-made Fentanyls and Cocaine,143,Illegally-made Fentanyls with no other opioids or stimulants,99,Cocaine with no other stimulants or opioids,41,Illegally-made Fentanyls and Prescription Opioids,38,Prescription Opioids with no other opioids or stimulants,30
South Dakota,2021,Methamphetamine with no other stimulants or opioids,38,Illegally-made Fentanyls with no other opioids or stimulants,17,Prescription Opioids with no other opioids or stimulants,7,Illegally-made Fentanyls and Methamphetamine,6,Cocaine with no other stimulants or opioids,2
Utah,2021,Methamphetamine with no other stimulants or opioids,89,Prescription Opioids with no other opioids or stimulants,85,Heroin and Methamphetamine,71,Illegally-made Fentanyls with no other opioids or stimulants,61,Methamphetamine and other opioids or stimulants or both,35
Vermont,2021,Illegally-made Fentanyls and Cocaine,74,Illegally-made Fentanyls with no other opioids or stimulants,56,Illegally-made Fentanyls and Heroin,18,Illegally-made Fentanyls and Prescription Opioids,16,"Illegally-made Fentanyls, Heroin, and Cocaine",10
Virginia,2021,Illegally-made Fentanyls with no other opioids or stimulants,700,Illegally-made Fentanyls and Cocaine,439,Illegally-made Fentanyls and Methamphetamine,227,Illegally-made Fentanyls and Heroin,158,Methamphetamine and other opioids or stimulants or both,131
West Virginia,2021,Illegally-made Fentanyls and Methamphetamine,422,Illegally-made Fentanyls with no other opioids or stimulants,316,Methamphetamine and other opioids or stimulants or both,152,Illegally-made Fentanyls and Prescription Opioids,83,"Illegally-made Fentanyls, Prescription Opioids, and Methamphetamine",74
Alaska,2022,Illegally-made Fentanyls with no other opioids or stimulants,44,Illegally-made Fentanyls and Methamphetamine,34,Methamphetamine with no other stimulants or opioids,32,"Illegally-made Fentanyls, Heroin, and Methamphetamine",26,Methamphetamine and other opioids or stimulants or both,16
Arizona,2022,Illegally-made Fentanyls with no other opioids or stimulants,763,Illegally-made Fentanyls and Methamphetamine,745,Methamphetamine with no other stimulants or opioids,483,Illegally-made Fentanyls and Cocaine,102,Prescription Opioids with no other opioids or stimulants,89
Arkansas,2022,Illegally-made Fentanyls with no other opioids or stimulants,109,Illegally-made Fentanyls and Methamphetamine,92,Methamphetamine and other opioids or stimulants or both,84,Prescription Opioids with no other opioids or stimulants,38,Illegally-made Fentanyls and Cocaine,33
Colorado,2022,Illegally-made Fentanyls with no other opioids or stimulants,410,Illegally-made Fentanyls and Methamphetamine,268,Methamphetamine and other opioids or stimulants or both,222,Illegally-made Fentanyls and Cocaine,123,Prescription Opioids with no other opioids or stimulants,123
Connecticut,2022,Illegally-made Fentanyls with no other opioids or stimulants,491,Illegally-made Fentanyls and Cocaine,454,Illegally-made Fentanyls and Prescription Opioids,111,Cocaine with no other stimulants or opioids,67,Prescription Opioids with no other opioids or stimulants,67
Delaware,2022,Illegally-made Fentanyls with no other opioids or stimulants,174,Illegally-made Fentanyls and Cocaine,148,Illegally-made Fentanyls and Methamphetamine,37,Illegally-made Fentanyls and Heroin,36,Cocaine with no other stimulants or opioids,33
District of Columbia,2022,Illegally-made Fentanyls and Cocaine,193,Illegally-made Fentanyls with no other opioids or stimulants,133,Cocaine with no other stimulants or opioids,78,Illegally-made Fentanyls and Heroin,26,Illegally-made Fentanyls and Prescription Opioids,19
Georgia,2022,Illegally-made Fentanyls with no other opioids or stimulants,559,Illegally-made Fentanyls and Methamphetamine,411,Illegally-made Fentanyls and Cocaine,250,Methamphetamine and other opioids or stimulants or both,220,Cocaine with no other stimulants or opioids,208
Iowa,2022,Methamphetamine with no other stimulants or opioids,117,Illegally-made Fentanyls with no other opioids or stimulants,77,Illegally-made Fentanyls and Methamphetamine,48,Illegally-made Fentanyls and Cocaine,16,Cocaine with no other stimulants or opioids,14
Kansas,2022,Illegally-made Fentanyls with no other opioids or stimulants,179,Methamphetamine with no other stimulants or opioids,160,Illegally-made Fentanyls and Methamphetamine,115,Prescription Opioids with no other opioids or stimulants,56,Illegally-made Fentanyls and Cocaine,41
Kentucky,2022,Illegally-made Fentanyls and Methamphetamine,627,Illegally-made Fentanyls with no other opioids or stimulants,612,Methamphetamine with no other stimulants or opioids,199,Illegally-made Fentanyls and Cocaine,143,Prescription Opioids with no other opioids or stimulants,99
Maine,2022,Illegally-made Fentanyls with no other opioids or stimulants,189,Illegally-made Fentanyls and Methamphetamine,113,Illegally-made Fentanyls and Cocaine,106,Illegally-made Fentanyls and Prescription Opioids,47,Prescription Opioids with no other opioids or stimulants,31
Maryland,2022,Illegally-made Fentanyls with no other opioids or stimulants,940,Illegally-made Fentanyls and Cocaine,786,Cocaine with no other stimulants or opioids,126,Prescription Opioids with no other opioids or stimulants,125,Illegally-made Fentanyls and Prescription Opioids,114
Massachusetts,2022,Illegally-made Fentanyls and Cocaine,926,Illegally-made Fentanyls with no other opioids or stimulants,758,Cocaine with no other stimulants or opioids,194,Illegally-made Fentanyls and Prescription Opioids,155,"Illegally-made Fentanyls, Prescription Opioids, and Cocaine",117
Minnesota,2022,Illegally-made Fentanyls with no other opioids or stimulants,407,Illegally-made Fentanyls and Methamphetamine,259,Methamphetamine with no other stimulants or opioids,144,Illegally-made Fentanyls and Cocaine,110,Prescription Opioids with no other opioids or stimulants,55
Mississippi,2022,Illegally-made Fentanyls with no other opioids or stimulants,181,Illegally-made Fentanyls and Methamphetamine,143,Methamphetamine and other opioids or stimulants or both,58,Prescription Opioids with no other opioids or stimulants,37,Illegally-made Fentanyls and Cocaine,33
Missouri,2022,Illegally-made Fentanyls with no other opioids or stimulants,700,Illegally-made Fentanyls and Methamphetamine,373,Methamphetamine with no other stimulants or opioids,256,Illegally-made Fentanyls and Cocaine,189,Prescription Opioids with no other opioids or stimulants,60
Nebraska,2022,Illegally-made Fentanyls with no other opioids or stimulants,52,Illegally-made Fentanyls and Methamphetamine,26,Prescription Opioids with no other opioids or stimulants,16,Methamphetamine with no other stimulants or opioids,15,Methamphetamine and other opioids or stimulants or both,14
New Hampshire,2022,Illegally-made Fentanyls with no other opioids or stimulants,262,Illegally-made Fentanyls and Methamphetamine,73,Illegally-made Fentanyls and Cocaine,37,Illegally-made Fentanyls and other opioids or stimulants,11,Prescription Opioids with no other opioids or stimulants,10
New Jersey,2022,Illegally-made Fentanyls with no other opioids or stimulants,939,Illegally-made Fentanyls and Cocaine,862,Illegally-made Fentanyls and Heroin,174,Cocaine with no other stimulants or opioids,152,Illegally-made Fentanyls and Prescription Opioids,129
North Carolina,2022,Illegally-made Fentanyls with no other opioids or stimulants,1093,Illegally-made Fentanyls and Cocaine,862,Illegally-made Fentanyls and Methamphetamine,693,Cocaine with no other stimulants or opioids,256,"Illegally-made Fentanyls, Cocaine, and Methamphetamine",194
Ohio,2022,Illegally-made Fentanyls with no other opioids or stimulants,1572,Illegally-made Fentanyls and Cocaine,1110,Illegally-made Fentanyls and Methamphetamine,823,Cocaine with no other stimulants or opioids,311,"Illegally-made Fentanyls, Cocaine, and Methamphetamine",214
Oklahoma,2022,Methamphetamine with no other stimulants or opioids,446,Illegally-made Fentanyls with no other opioids or stimulants,286,Illegally-made Fentanyls and Methamphetamine,233,Prescription Opioids with no other opioids or stimulants,61,Illegally-made Fentanyls and Cocaine,35
Oregon,2022,Illegally-made Fentanyls and Methamphetamine,355,Illegally-made Fentanyls with no other opioids or stimulants,314,Methamphetamine with no other stimulants or opioids,215,Methamphetamine and other opioids or stimulants or both,46,Illegally-made Fentanyls and Cocaine,43
Overall,2022,Illegally-made Fentanyls with no other opioids or stimulants,14528,Illegally-made Fentanyls and Cocaine,8994,Illegally-made Fentanyls and Methamphetamine,7376,Methamphetamine with no other stimulants or opioids,3189,Cocaine with no other stimulants or opioids,2522
Pennsylvania,2022,Illegally-made Fentanyls with no other opioids or stimulants,1383,Illegally-made Fentanyls and Cocaine,1150,Illegally-made Fentanyls and Methamphetamine,478,Cocaine with no other stimulants or opioids,326,Illegally-made Fentanyls and Prescription Opioids,204
Rhode Island,2022,Illegally-made Fentanyls and Cocaine,129,Illegally-made Fentanyls with no other opioids or stimulants,113,Cocaine with no other stimulants or opioids,45,Illegally-made Fentanyls and Prescription Opioids,25,Prescription Opioids with no other opioids or stimulants,22
Tennessee,2022,Illegally-made Fentanyls with no other opioids or stimulants,1020,Illegally-made Fentanyls and Methamphetamine,861,Illegally-made Fentanyls and Cocaine,430,Methamphetamine with no other stimulants or opioids,360,Illegally-made Fentanyls and Prescription Opioids,139
Utah,2022,Methamphetamine with no other stimulants or opioids,94,Prescription Opioids with no other opioids or stimulants,93,Heroin and Methamphetamine,60,Illegally-made Fentanyls with no other opioids or stimulants,57,Illegally-made Fentanyls and Methamphetamine,47
Vermont,2022,Illegally-made Fentanyls and Cocaine,81,Illegally-made Fentanyls with no other opioids or stimulants,62,Illegally-made Fentanyls and Prescription Opioids,20,Illegally-made Fentanyls and Heroin,13,"Illegally-made Fentanyls, Heroin, and Cocaine",13
Virginia,2022,Illegally-made Fentanyls with no other opioids or stimulants,649,Illegally-made Fentanyls and Cocaine,572,Illegally-made Fentanyls and Methamphetamine,259,Cocaine with no other stimulants or opioids,174,Methamphetamine and other opioids or stimulants or both,113
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
